Set,ID,Priority,Scenario,Preconditions,Steps,Expected Result,Status,Actual Result,Owner,Date
A,A1,P1,"Peak-hour simultaneous taps accepted without duplicate logs","At least 10 active employees with RFID","Simultaneously tap multiple cards across stations within 5-10 seconds","One valid log flow per employee/day sequence; no duplicate in/out corruption",,,,,
A,A2,P1,"Invalid/unregistered RFID rejected safely","Unknown RFID prepared","Tap unknown RFID","Safe error shown, no log inserted",,,,,
A,A3,P1,"Inactive employee cannot record attendance","Employee set is_active=false","Tap inactive employee card","Rejected with inactive/account message; no log inserted",,,,,
A,A4,P1,"IN then OUT once per day works","Active employee no logs today","Tap once (IN), tap second time (OUT)","IN and OUT recorded in order",,,,,
A,A5,P1,"Extra taps after IN+OUT blocked gracefully","Employee already has IN+OUT","Tap again","Request blocked with already completed message",,,,,
B,B1,P1,"On-time teaching log correct","Teaching schedule for current day/time","Tap within expected IN time","Status on_time/present; no late minutes",,,,,
B,B2,P1,"Late IN computes late_minutes","Teaching schedule starts before tap","Tap after expected IN","Status late with correct late_minutes",,,,,
B,B3,P1,"Early OUT computes undertime_minutes","Existing IN and expected OUT later","Tap OUT early","Status undertime with correct undertime_minutes",,,,,
B,B4,P1,"Non-teaching fixed shift computes status","Non-teaching with schedule_time_in/out","Tap IN/OUT against shift","Statuses based on fixed shift",,,,,
B,B5,P2,"No schedule day logs as admin time","Employee has no class/exam that day","Tap IN/OUT","Entry tagged admin_time or no-schedule behavior per policy",,,,,
C,C1,P1,"Missed IN request enters pending queue","Missing IN case exists","File missed IN","Request visible as pending",,,,,
C,C2,P1,"Missed OUT request enters pending queue","Missing OUT case exists","File missed OUT","Request visible as pending",,,,,
C,C3,P1,"Full-day missed logs correction processed","Missing both logs case exists","File full-day request and approve","Daily attendance corrected as expected",,,,,
C,C4,P1,"Approval updates attendance correctly","Pending request available","Approver approves","Attendance log/state updated with audit trace",,,,,
C,C5,P1,"Rejection preserves original record","Pending request available","Approver rejects","Original attendance remains unchanged",,,,,
C,C6,P2,"Duplicate request blocked","Existing pending/approved matching request","Submit duplicate","API/UI blocks duplicate with clear error",,,,,
D,D1,P1,"Whole-day approved leave suppresses attendance expectation","Approved leave without time window","Evaluate day policy / tap","No attendance requirement for date",,,,,
D,D2,P1,"Partial leave keeps non-overlapping obligations","Approved leave with time_start/time_end","Evaluate policy and attendance","Non-overlap obligations remain active; conflict note visible",,,,,
D,D3,P1,"Pending leave does not suppress attendance","Leave status pending","Evaluate attendance day","Attendance still expected",,,,,
D,D4,P2,"Approved leave sync updates absence/notes","Approved leave records exist","Run sync absences endpoint/job","Absence records/notes updated correctly",,,,,
E,E1,P1,"Teaching class day windows enforced","Teaching schedule for date","Tap IN/OUT around class windows","Expected time in/out reflects schedule",,,,,
E,E2,P1,"Exam/proctoring overlap suppresses class","Overlapping class and exam","Evaluate day policy","Conflicting class suppressed; exam wins",,,,,
E,E3,P1,"Non-overlap class and exam both active","Class and exam non-overlapping","Evaluate policy","Both obligations active",,,,,
E,E4,P2,"Effective totals reflect override behavior","Mixed overlap setup","Evaluate policy output","Raw totals differ from effective totals where overlap exists",,,,,
F,F1,P1,"Approved substitution appears for date","Valid substitution assigned","Check substitute schedule/day policy","Substitute slot is included for substitute employee",,,,,
F,F2,P1,"Substitute logs recognized as duty","Active substitute assignment exists","Tap substitute employee","Treated as schedule duty; not idle-only admin",,,,,
F,F3,P2,"Conflicting substitute assignments blocked or flagged","Prepare overlapping substitute assignments","Save assignment","Conflict prevented or explicitly flagged",,,,,
F,F4,P2,"Original/substitute accountability traceable","Substitution lifecycle exists","Review history and logs","Clear mapping of original vs substitute responsibilities",,,,,
G,G1,P1,"Full holiday disables tracking","Holiday with affects_attendance=true","Tap/evaluate policy","No attendance tracking",,,,,
G,G2,P1,"Reporting-only holiday enforces required staff only","reporting_only holiday configured","Evaluate reporting and non-reporting users","Reporting staff required; others exempt",,,,,
G,G3,P1,"Suspended day behavior consistent","suspended_* holiday type configured","Evaluate policy and taps","Behavior follows configured holiday type",,,,,
G,G4,P2,"Online class day tracked with adjusted interpretation","online_class day configured","Evaluate day policy","Day remains trackable with online-day policy flag",,,,,
H,H1,P1,"Attendance events create notifications","Notification pipeline active","Perform attendance actions","Notifications generated for expected recipients",,,,,
H,H2,P2,"Admin dashboards receive update events","Dashboard open during events","Generate attendance events","Dashboard receives stream/update event",,,,,
H,H3,P1,"Attendance edits/deletes are audited","Recovery/update action performed","Edit or delete attendance through authorized flow","Audit entry exists with actor/action context",,,,,
H,H4,P1,"Verification approvals/rejections are audited","Pending request exists","Approve/reject request","Audit entry exists for decision",,,,,
I,I1,P2,"Overlapping schedules detected/flagged","Create overlap in same day/employee","Evaluate day policy","Conflict notes include overlap details",,,,,
I,I2,P2,"Class/exam conflict explanation visible","Overlap class and exam exists","Call day policy endpoint","Explanation appears in policy conflicts",,,,,
I,I3,P1,"Missing required fields blocked","Submit malformed API requests","Observe response","400 with clear validation error",,,,,
I,I4,P1,"Date/time normalization prevents wrong-day records","Use timezone-edge timestamps","Validate day assignment","Records fall on correct Manila date",,,,,
J,J1,P1,"API restart does not corrupt attendance logs","Controlled restart window","Restart app API then continue taps","No data corruption; service resumes normally",,,,,
J,J2,P1,"Maintenance mode/fallback informs users","Maintenance process enabled","Trigger maintenance flow","Users see clear maintenance behavior and recover after restore",,,,,
J,J3,P2,"Runtime artifacts do not create version-control noise","Maintenance status updates active","Run maintenance scripts and check git status","Runtime status file remains untracked",,,,,
J,J4,P2,"Recovery console actions controlled/traceable","Recovery role available","Use recovery endpoints","Access controlled and all actions auditable",,,,,
